Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2020-09-10,140135.0,94058.0,16346.0,112982.0
SE,2020-09-11,192930.0,94105.0,16557.0,71512.0
SE,2020-09-12,136289.0,94003.0,14573.0,99658.0
SE,2020-09-13,97889.0,97820.0,15049.0,124091.0
SE,2020-09-14,161621.0,112948.0,13568.0,92363.0
SE,2020-09-15,214823.0,96214.0,12298.0,29271.0
SE,2020-09-16,174682.0,104233.0,13467.0,109994.0
SE,2020-09-17,172117.0,116854.0,17012.0,87163.0
SE,2020-09-18,150482.0,118412.0,17588.0,109335.0
SE,2020-09-19,133914.0,117854.0,14962.0,70117.0
SE,2020-09-20,109688.0,117251.0,14479.0,75351.0
SE,2020-09-21,105610.0,112508.0,15097.0,127753.0
SE,2020-09-22,157743.0,112634.0,14680.0,85235.0
SE,2020-09-23,155106.0,112540.0,15555.0,74624.0
SE,2020-09-24,115437.0,112566.0,15264.0,86956.0
SE,2020-09-25,134768.0,112545.0,15614.0,95115.0
SE,2020-09-26,89391.0,103660.0,13667.0,104533.0
SE,2020-09-27,94010.0,106972.0,14259.0,86306.0
SE,2020-09-28,203420.0,112724.0,15589.0,31886.0
SE,2020-09-29,217666.0,112419.0,14704.0,15782.0
SE,2020-09-30,216450.0,112490.0,14489.0,20725.0
SE,2020-10-01,194046.0,112716.0,15075.0,46045.0
SE,2020-10-02,145196.0,112885.0,14898.0,80112.0
SE,2020-10-03,75215.0,110397.0,13094.0,99590.0
SE,2020-10-04,79349.0,114360.0,12317.0,117940.0
SE,2020-10-05,177335.0,123094.0,14887.0,62985.0
SE,2020-10-06,181749.0,127115.0,15468.0,69767.0
SE,2020-10-07,171602.0,127125.0,15688.0,80383.0
SE,2020-10-08,192025.0,127017.0,14975.0,54166.0
SE,2020-10-09,174580.0,127344.0,16188.0,66369.0
SE,2020-10-10,197695.0,127464.0,14006.0,36250.0
SE,2020-10-11,192152.0,127409.0,15305.0,37659.0
SE,2020-10-12,236010.0,127842.0,18502.0,30010.0
SE,2020-10-13,230885.0,128069.0,19979.0,37647.0
SE,2020-10-14,186814.0,128077.0,17775.0,89224.0
SE,2020-10-15,214709.0,122927.0,18877.0,87113.0
SE,2020-10-16,226995.0,128085.0,22485.0,57842.0
SE,2020-10-17,191453.0,128253.0,22643.0,89767.0
SE,2020-10-18,167215.0,128452.0,21128.0,143092.0
SE,2020-10-19,210491.0,128619.0,24754.0,96328.0
SE,2020-10-20,235722.0,128601.0,24400.0,49505.0
SE,2020-10-21,201161.0,128851.0,22671.0,59480.0
SE,2020-10-22,192112.0,128653.0,21600.0,74713.0
SE,2020-10-23,207987.0,128433.0,23419.0,79521.0
SE,2020-10-24,200007.0,128461.0,20908.0,48979.0
