,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-02-27,7332.0,174976.0,18777.0,0.0,7160.0,18044.0,17440.0,87788.0,0.0,24377.0,0.0,1140394.0,18055.0,6098.0,176312.0
2017-02-28,7197.0,176536.0,23767.0,0.0,9652.0,21831.0,14236.0,103173.0,0.0,36471.0,0.0,1145251.0,13275.0,5993.0,170038.0
2017-03-01,6569.0,183907.0,26651.0,0.0,5290.0,25043.0,14265.0,122751.0,0.0,40435.0,0.0,1174545.0,15488.0,6311.0,163381.0
2017-03-02,6514.0,185184.0,20970.0,0.0,8590.0,22546.0,16948.0,132745.0,0.0,34274.0,0.0,1186621.0,20799.0,6327.0,105259.0
2017-03-03,6624.0,181654.0,23203.0,0.0,5202.0,12172.0,14330.0,141342.0,0.0,28964.0,0.0,1174544.0,15771.0,6192.0,108580.0
2017-03-04,6903.0,105893.0,11933.0,0.0,4331.0,6327.0,25908.0,138489.0,0.0,27918.0,0.0,1145760.0,13630.0,6289.0,92945.0
2017-03-05,6912.0,76345.0,1228.0,684.0,4217.0,1941.0,44250.0,133551.0,0.0,26236.0,0.0,1131468.0,14424.0,6228.0,166996.0
2017-03-06,6901.0,157310.0,29810.0,0.0,11029.0,21347.0,14274.0,149386.0,0.0,43042.0,0.0,1149360.0,15605.0,5898.0,131038.0
2017-03-07,7079.0,178702.0,19419.0,0.0,13738.0,31186.0,5080.0,155110.0,0.0,58196.0,0.0,1133193.0,14472.0,6021.0,59246.0
2017-03-08,7085.0,188963.0,25560.0,0.0,4367.0,23930.0,11762.0,155099.0,0.0,43577.0,0.0,1149887.0,17518.0,6222.0,134332.0
2017-03-09,7086.0,185879.0,21704.0,0.0,4365.0,18448.0,16896.0,157515.0,0.0,35024.0,0.0,1145184.0,23157.0,6244.0,83659.0
2017-03-10,6893.0,190452.0,20579.0,0.0,4337.0,17247.0,14425.0,159826.0,0.0,38991.0,0.0,1137412.0,30086.0,6288.0,26544.0
2017-03-11,7148.0,119393.0,8319.0,0.0,4319.0,4867.0,22787.0,156129.0,0.0,32026.0,0.0,1079862.0,28683.0,6111.0,30374.0
2017-03-12,7155.0,66041.0,8687.0,0.0,4314.0,1873.0,42194.0,149253.0,0.0,24085.0,0.0,1028335.0,15077.0,5905.0,47434.0
2017-03-13,7037.0,157577.0,10198.0,0.0,4293.0,15570.0,11960.0,153163.0,0.0,34966.0,0.0,1106721.0,22532.0,5757.0,52970.0
2017-03-14,6825.0,172577.0,125.0,6.0,12041.0,17069.0,14444.0,150037.0,0.0,41365.0,0.0,1072772.0,28530.0,5773.0,33872.0
2017-03-15,6466.0,188954.0,4872.0,25.0,11475.0,21657.0,12039.0,153534.0,0.0,44172.0,0.0,1100987.0,28984.0,6006.0,25899.0
2017-03-16,6515.0,179667.0,10342.0,0.0,11890.0,17779.0,11927.0,143428.0,0.0,31306.0,0.0,1122816.0,33696.0,6062.0,23645.0
2017-03-17,6491.0,159185.0,10029.0,0.0,4433.0,20886.0,12870.0,139944.0,0.0,32587.0,0.0,1128300.0,26534.0,6070.0,53532.0
2017-03-18,6960.0,61423.0,22.0,55.0,4261.0,4643.0,35151.0,129914.0,0.0,24715.0,0.0,1067127.0,18206.0,6108.0,165012.0
2017-03-19,8244.0,62620.0,88.0,0.0,4243.0,4014.0,45224.0,121421.0,0.0,19025.0,0.0,1003213.0,23299.0,6128.0,117034.0
2017-03-20,7571.0,124945.0,6817.0,14.0,7385.0,19545.0,10280.0,137257.0,0.0,44238.0,0.0,1077018.0,19776.0,6345.0,99792.0
2017-03-21,6493.0,165383.0,12443.0,0.0,9707.0,22571.0,13704.0,132373.0,0.0,46113.0,0.0,1055745.0,17007.0,6029.0,58869.0
2017-03-22,6528.0,189017.0,20492.0,0.0,4970.0,22157.0,11272.0,136960.0,0.0,53720.0,0.0,1087958.0,22817.0,6000.0,59055.0
2017-03-23,6484.0,183003.0,21683.0,0.0,6472.0,28598.0,8840.0,138543.0,0.0,60184.0,0.0,1078001.0,19257.0,6113.0,61261.0
2017-03-24,6469.0,183419.0,10999.0,0.0,4442.0,14354.0,11849.0,146288.0,0.0,68073.0,0.0,1092899.0,16404.0,6204.0,67872.0
2017-03-25,6339.0,77807.0,1112.0,7.0,4388.0,5411.0,34979.0,142859.0,0.0,37260.0,0.0,1085863.0,22888.0,5866.0,159967.0
2017-03-26,6255.0,63060.0,52.0,27.0,4236.0,6701.0,36290.0,126478.0,0.0,37103.0,0.0,1017748.0,32491.0,5738.0,50605.0
2017-03-27,6545.0,160493.0,5429.0,119.0,4420.0,18447.0,15657.0,134563.0,0.0,55459.0,0.0,1091160.0,30160.0,5665.0,47732.0
2017-03-28,5843.0,181298.0,13743.0,0.0,6543.0,18473.0,15247.0,122770.0,0.0,49362.0,0.0,1100053.0,32846.0,5570.0,41455.0
2017-03-29,5599.0,174587.0,14553.0,0.0,4253.0,21608.0,12128.0,115749.0,0.0,45813.0,0.0,1011980.0,35070.0,5190.0,35441.0
2017-03-30,5845.0,167085.0,15444.0,0.0,4383.0,14507.0,20612.0,118933.0,0.0,38549.0,0.0,1110069.0,35015.0,5768.0,54631.0
2017-03-31,5858.0,103966.0,8721.0,0.0,4444.0,8905.0,26946.0,115149.0,0.0,33163.0,0.0,1075216.0,23601.0,6070.0,90298.0
2017-04-01,5871.0,46714.0,10181.0,0.0,3160.0,15645.0,16443.0,112983.0,0.0,27969.0,0.0,1022442.0,19303.0,5705.0,39523.0
2017-04-02,6517.0,31026.0,7862.0,0.0,3111.0,10154.0,29018.0,106544.0,0.0,23405.0,0.0,1009665.0,23451.0,4960.0,36459.0
2017-04-03,5917.0,112614.0,8803.0,70.0,3462.0,20901.0,8659.0,119271.0,0.0,46448.0,0.0,1072177.0,35542.0,4801.0,34987.0
2017-04-04,6106.0,132779.0,22324.0,0.0,3226.0,23198.0,10116.0,113614.0,0.0,43333.0,0.0,1076684.0,31880.0,4858.0,41510.0
2017-04-05,6487.0,121189.0,28385.0,0.0,4140.0,13091.0,12328.0,114011.0,0.0,38421.0,0.0,1070068.0,30844.0,5095.0,74641.0
2017-04-06,6551.0,117473.0,26602.0,0.0,3137.0,17784.0,10137.0,112152.0,0.0,37126.0,0.0,1094599.0,37933.0,4948.0,67946.0
2017-04-07,6445.0,128870.0,34264.0,0.0,3082.0,17040.0,4850.0,111912.0,0.0,37520.0,0.0,1104690.0,40386.0,5148.0,29981.0
