Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2019-07-07,135091.0,168104.0,10470.0,31709.0
SE,2019-07-08,173078.0,168615.0,10728.0,52898.0
SE,2019-07-09,186887.0,168414.0,10913.0,36972.0
SE,2019-07-10,203188.0,167838.0,11442.0,24723.0
SE,2019-07-11,215011.0,167039.0,12158.0,10357.0
SE,2019-07-12,206686.0,166705.0,11914.0,8127.0
SE,2019-07-13,175721.0,165445.0,11952.0,8554.0
SE,2019-07-14,147423.0,164849.0,12222.0,13770.0
SE,2019-07-15,195593.0,164789.0,11894.0,30370.0
SE,2019-07-16,188565.0,164852.0,11898.0,49441.0
SE,2019-07-17,200508.0,166818.0,11528.0,11365.0
SE,2019-07-18,186205.0,171657.0,11858.0,12126.0
SE,2019-07-19,187796.0,170658.0,11519.0,18152.0
SE,2019-07-20,115349.0,170716.0,11377.0,21840.0
SE,2019-07-21,99691.0,151399.0,11067.0,44110.0
SE,2019-07-22,148390.0,150444.0,11694.0,33750.0
SE,2019-07-23,161963.0,149846.0,10875.0,14769.0
SE,2019-07-24,162282.0,148661.0,11576.0,7882.0
SE,2019-07-25,159775.0,162603.0,11774.0,11832.0
SE,2019-07-26,143220.0,166836.0,11906.0,16890.0
SE,2019-07-27,84363.0,167449.0,12436.0,33571.0
SE,2019-07-28,95292.0,147113.0,11816.0,46280.0
SE,2019-07-29,155184.0,145265.0,11931.0,30670.0
SE,2019-07-30,142134.0,146063.0,10703.0,53597.0
SE,2019-07-31,165288.0,146511.0,9808.0,26222.0
SE,2019-08-01,157986.0,146399.0,9995.0,10318.0
SE,2019-08-02,156884.0,146563.0,10381.0,20252.0
SE,2019-08-03,96027.0,146710.0,10710.0,10320.0
SE,2019-08-04,86366.0,146429.0,10242.0,8951.0
SE,2019-08-05,165075.0,146313.0,10610.0,10713.0
SE,2019-08-06,143585.0,146150.0,10472.0,17950.0
SE,2019-08-07,150915.0,145963.0,11058.0,22042.0
